Cuando abres, horas_info
Cuando estás abierto, horas_info
¿En qué días está cerrado ?, horas_info
Cuando cierras, horas_info
¿Estás abierto el día de Navidad?, horas_info
¿Está abierto los sábados?, Horas_info
¿A qué hora está abierto?, Horas_info
¿Cuáles son sus horas de atención al cliente?, horas_info
¿Está abierto los domingos?, Horas_info
¿Cuáles son sus horas de operación en Barcelona?, horas_info
¿Cuáles son las horas de operación de su tienda de Madrid?, horas_info
lista de sus ubicaciones, location_info
¿Dónde están sus tiendas?, location_info
¿Dónde está ubicada la tienda físicamente?, Location_info
¿Cuáles son las ubicaciones de sus tiendas?, Location_info
Lista de ubicación, location_info
Dame una lista de ubicaciones, location_info
Ubicaciones en España, location_info
ubicaciones en Argentina, location_info
¿Cuál es la dirección de su tienda de Buenos Aires?, location_info
¿Cuál es la dirección de su tienda de Barcelona ?, location_info
¿Teneis una tienda de flores en Barcelona?, location_info
¿Dónde está tu tienda de Buenos Aires?, location_info
